symbol,error,name,sector,market_cap_cr,current_price,high_52w,low_52w,pe_ratio,book_value,dividend_yield,roce,roe,face_value,price_to_book,promoter_holding,fii_holding,dii_holding,government_holding,public_holding,sales_growth_5y,sales_growth_3y,sales_growth_ttm,profit_growth_5y,profit_growth_3y,profit_growth_ttm,price_cagr_5y,price_cagr_3y,operating_margin,roce_latest,price_cagr_10y,roe_latest,sales_growth_10y,profit_growth_10y,passed_filters,quality_score,growth_score,health_score,promoter_score,valuation_score,composite_score,multibagger_score,rationale,technical_error,current_price_yf,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
FORCEMOT,,Force Motors Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,23896.0,18160.0,26486.0,14911.0,21.7,3183.0,0.28,36.0,26.1,10.0,5.71,61.63,9.51,1.46,,27.39,35.0,22.0,8.0,62.0,209.0,82.0,65.0,65.0,16.0,36.0,19.0,,12.0,18.0,True,0.6528106993505617,1.2995801405233167,0.0,0.10496157538614022,0.5743625607794589,0.5289397302956989,9.2,"Solid growth (5y sales 35%, 5y profit 62%); strong profitability (ROE 26%, ROCE 36%). Balance sheet worth monitoring.",,18175.0,55.9,17999.28,19594.37,-7.2,29.5,7.0,SELL,12,SELL,15
CHALET,,Chalet Hotels Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,19048.0,870.0,1079.0,690.0,35.6,169.0,0.22,17.0,19.0,10.0,5.15,67.29,4.26,24.99,,3.45,58.0,35.0,6.0,46.0,60.0,88.0,37.0,16.0,45.0,17.0,,,17.0,23.0,True,0.375787708851246,1.541550887409911,0.0,0.29385903697137183,0.26057670921738274,0.4911830166048001,9.1,"Solid growth (5y sales 58%, 5y profit 46%); strong profitability (ROE 19%, ROCE 17%). Balance sheet worth monitoring.",,875.55,51.6,851.74,823.58,6.3,17.8,10.0,BUY,13,BUY,9
ABSLAMC,,Aditya Birla Sun Life AMC Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,31540.0,1090.0,1225.0,708.0,31.3,140.0,2.37,32.2,25.2,5.0,7.79,74.72,4.41,14.26,0.03,6.58,11.0,15.0,7.0,13.0,18.0,4.0,,36.0,59.0,32.0,,,,,True,1.602759202516386,-0.6595950835898939,0.0,0.5418286729392638,0.061068084283727175,0.4362898534061992,9.0,"Strong profitability (ROE 25%, ROCE 32%); strong promoter alignment (promoter 75%). Growth is modest — more of a compounder.",,1088.5,61.2,1055.95,959.63,13.4,9.2,7.5,BUY,4,BUY,31
TENNIND,,Tenneco Clean Air India Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,20929.0,519.0,657.0,438.0,33.7,29.7,0.0,60.8,44.4,10.0,17.47,74.79,9.69,11.45,,4.09,,4.0,15.0,,18.0,9.0,,,17.0,61.0,,,,,True,1.8875848734205674,-0.3933373371800301,0.0,0.5441648606267139,-1.168563085072935,0.4523764151768777,9.0,"Strong profitability (ROE 44%, ROCE 61%); strong promoter alignment (promoter 75%). Valuation looks stretched.",,519.25,39.3,551.0,551.05,-5.8,20.3,7.5,SELL,8,BUY,20
NUVAMA,,Nuvama Wealth Management Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,32343.0,1754.0,2067.0,1097.0,29.9,226.0,1.63,17.5,27.4,2.0,7.76,53.98,19.0,8.49,,18.51,27.0,28.0,13.0,59.0,51.0,5.0,,,52.0,17.0,,,,,True,1.0409105411128883,0.5906450033321745,0.0,-0.1503503647423089,0.10306063971916418,0.41815567226087147,8.9,"Strong profitability (ROE 27%, ROCE 18%); solid growth (5y sales 27%, 5y profit 59%). Promoter signal is average (moderate holding or some pledge).",,1757.9,47.4,1805.15,1509.21,16.5,11.2,10.0,BUY,9,BUY,19
CEMPRO,,Cemindia Projects Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,21518.0,1252.0,1650.0,481.0,35.8,140.0,0.24,32.8,27.8,1.0,8.94,67.46,7.26,2.86,,22.4,30.0,25.0,9.0,112.0,68.0,47.0,74.0,74.0,10.0,33.0,25.0,,13.0,27.0,True,0.4552812626467015,1.2516494054452014,0.0,0.2995326356408925,-0.20057896590669572,0.41178625863851503,8.8,"Solid growth (5y sales 30%, 5y profit 112%); strong profitability (ROE 28%, ROCE 33%). Valuation looks stretched.",,1251.9,43.9,1373.8,934.16,34.0,23.6,8.5,SELL,35,SELL,6
ACUTAAS,,Acutaas Chemicals Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,28256.0,3451.0,3740.0,1290.0,73.1,202.0,0.08,31.6,24.0,5.0,17.08,32.66,21.61,19.55,0.01,26.16,32.0,30.0,41.0,46.0,62.0,104.0,,69.0,37.0,32.0,,,,,True,0.9656994683299823,1.8526220021566038,0.0,-0.8618863861198947,-2.201955301235502,0.3107557528887811,8.7,"Solid growth (5y sales 32%, 5y profit 46%); strong profitability (ROE 24%, ROCE 32%). Valuation looks stretched.",,3451.4,60.6,3336.21,2565.18,34.5,6.6,6.0,SELL,34,BUY,118
ECLERX,,eClerx Services Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,17841.0,1892.0,2498.0,1319.0,24.5,272.0,0.05,34.4,28.4,10.0,6.96,54.53,11.01,23.84,0.02,8.43,21.0,16.0,23.0,21.0,13.0,28.0,21.0,29.0,25.0,34.0,14.0,,12.0,7.0,True,0.9689113290893944,-0.007114576561335434,0.0,-0.131994604340917,0.3473036524438527,0.30418165800779895,8.6,"Strong profitability (ROE 28%, ROCE 34%); reasonable valuation (P/E 24, P/B 7.0). Promoter signal is average (moderate holding or some pledge).",,1899.8,51.7,1821.46,1804.66,5.3,23.2,10.0,BUY,49,BUY,9
TATAELXSI,,Tata Elxsi Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,21204.0,3408.0,5950.0,3354.0,208.0,45.5,2.2,60.0,39.3,10.0,74.9,43.9,9.85,11.03,,35.2,17.0,16.0,10.0,16.0,43.0,41.0,-7.0,-23.0,21.0,60.0,16.0,,,,True,2.0,-0.004663594958069654,0.0,-0.4867613917350886,-3.0,0.22605307224812266,8.5,"Strong profitability (ROE 39%, ROCE 60%); healthy balance sheet. Valuation looks stretched.",,3409.0,32.3,3632.92,4401.98,-22.6,41.8,4.5,SELL,9,SELL,55
GODFRYPHLP,,Godfrey Phillips India Ltd,*The pros and cons are machine generated.Pros / cons are based on a checklist to highlight important points. Please exercise caution and do your own analysis.,30783.0,1971.0,3947.0,1832.0,22.5,398.0,2.54,30.2,23.4,2.0,4.95,72.58,7.8,3.66,0.02,15.93,20.0,22.0,2.0,34.0,32.0,12.0,44.0,41.0,23.0,30.0,15.0,,11.0,24.0,True,0.48766752530410956,-0.1441582904196278,0.0,0.47040807792293954,0.6438027641810751,0.25241008761385575,8.5,"Reasonable valuation (P/E 22, P/B 5.0); strong profitability (ROE 23%, ROCE 30%). Growth is modest — more of a compounder.",,1972.0,32.5,2128.76,2238.61,-11.9,45.9,4.5,SELL,13,SELL,37
